PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=58 ttl=50 time=93.4 ms
64 bytes from 5.180.211.133: icmp_seq=59 ttl=50 time=98.2 ms
64 bytes from 5.180.211.133: icmp_seq=60 ttl=50 time=87.0 ms
64 bytes from 5.180.211.133: icmp_seq=61 ttl=50 time=89.9 ms
64 bytes from 5.180.211.133: icmp_seq=62 ttl=50 time=94.6 ms
64 bytes from 5.180.211.133: icmp_seq=63 ttl=50 time=96.6 ms
64 bytes from 5.180.211.133: icmp_seq=64 ttl=50 time=96.2 ms
64 bytes from 5.180.211.133: icmp_seq=65 ttl=50 time=86.6 ms
64 bytes from 5.180.211.133: icmp_seq=66 ttl=50 time=87.7 ms
64 bytes from 5.180.211.133: icmp_seq=67 ttl=50 time=86.6 ms
64 bytes from 5.180.211.133: icmp_seq=68 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=69 ttl=50 time=98.3 ms
64 bytes from 5.180.211.133: icmp_seq=70 ttl=50 time=126 ms
64 bytes from 5.180.211.133: icmp_seq=71 ttl=50 time=146 ms
64 bytes from 5.180.211.133: icmp_seq=72 ttl=50 time=93.9 ms
64 bytes from 5.180.211.133: icmp_seq=73 ttl=50 time=84.6 ms
64 bytes from 5.180.211.133: icmp_seq=74 ttl=50 time=91.2 ms
64 bytes from 5.180.211.133: icmp_seq=75 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=76 ttl=50 time=109 ms
64 bytes from 5.180.211.133: icmp_seq=77 ttl=50 time=94.0 ms
64 bytes from 5.180.211.133: icmp_seq=78 ttl=50 time=97.2 ms
64 bytes from 5.180.211.133: icmp_seq=79 ttl=50 time=95.8 ms
64 bytes from 5.180.211.133: icmp_seq=80 ttl=50 time=89.4 ms
64 bytes from 5.180.211.133: icmp_seq=81 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=82 ttl=50 time=97.8 ms
64 bytes from 5.180.211.133: icmp_seq=83 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=84 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=85 ttl=50 time=87.1 ms
64 bytes from 5.180.211.133: icmp_seq=86 ttl=50 time=101 ms
