PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=115 ttl=50 time=99.3 ms
64 bytes from 5.180.211.133: icmp_seq=116 ttl=50 time=96.6 ms
64 bytes from 5.180.211.133: icmp_seq=117 ttl=50 time=108 ms
64 bytes from 5.180.211.133: icmp_seq=118 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=119 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=120 ttl=50 time=100 ms
64 bytes from 5.180.211.133: icmp_seq=121 ttl=50 time=95.5 ms
64 bytes from 5.180.211.133: icmp_seq=122 ttl=50 time=90.9 ms
64 bytes from 5.180.211.133: icmp_seq=123 ttl=50 time=96.3 ms
64 bytes from 5.180.211.133: icmp_seq=124 ttl=50 time=97.1 ms
64 bytes from 5.180.211.133: icmp_seq=125 ttl=50 time=356 ms
64 bytes from 5.180.211.133: icmp_seq=126 ttl=50 time=152 ms
64 bytes from 5.180.211.133: icmp_seq=127 ttl=50 time=92.0 ms
64 bytes from 5.180.211.133: icmp_seq=128 ttl=50 time=95.2 ms
64 bytes from 5.180.211.133: icmp_seq=129 ttl=50 time=89.0 ms
64 bytes from 5.180.211.133: icmp_seq=130 ttl=50 time=132 ms
64 bytes from 5.180.211.133: icmp_seq=131 ttl=50 time=99.7 ms
64 bytes from 5.180.211.133: icmp_seq=132 ttl=50 time=99.0 ms
64 bytes from 5.180.211.133: icmp_seq=133 ttl=50 time=114 ms
64 bytes from 5.180.211.133: icmp_seq=134 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=135 ttl=50 time=114 ms
64 bytes from 5.180.211.133: icmp_seq=136 ttl=50 time=85.2 ms
64 bytes from 5.180.211.133: icmp_seq=137 ttl=50 time=91.1 ms
64 bytes from 5.180.211.133: icmp_seq=138 ttl=50 time=88.5 ms
64 bytes from 5.180.211.133: icmp_seq=139 ttl=50 time=93.0 ms
64 bytes from 5.180.211.133: icmp_seq=140 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=141 ttl=50 time=143 ms
64 bytes from 5.180.211.133: icmp_seq=142 ttl=50 time=87.7 ms
64 bytes from 5.180.211.133: icmp_seq=143 ttl=50 time=93.7 ms
64 bytes from 5.180.211.133: icmp_seq=144 ttl=50 time=107 ms
64 bytes from 5.180.211.133: icmp_seq=145 ttl=50 time=123 ms
64 bytes from 5.180.211.133: icmp_seq=146 ttl=50 time=89.6 ms
64 bytes from 5.180.211.133: icmp_seq=147 ttl=50 time=86.9 ms
64 bytes from 5.180.211.133: icmp_seq=148 ttl=50 time=143 ms
64 bytes from 5.180.211.133: icmp_seq=149 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=150 ttl=50 time=140 ms
64 bytes from 5.180.211.133: icmp_seq=151 ttl=50 time=109 ms
64 bytes from 5.180.211.133: icmp_seq=152 ttl=50 time=104 ms
64 bytes from 5.180.211.133: icmp_seq=153 ttl=50 time=95.3 ms
64 bytes from 5.180.211.133: icmp_seq=154 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=155 ttl=50 time=86.9 ms
64 bytes from 5.180.211.133: icmp_seq=156 ttl=50 time=104 ms
64 bytes from 5.180.211.133: icmp_seq=157 ttl=50 time=95.0 ms
64 bytes from 5.180.211.133: icmp_seq=158 ttl=50 time=99.8 ms
64 bytes from 5.180.211.133: icmp_seq=159 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=160 ttl=50 time=96.3 ms
64 bytes from 5.180.211.133: icmp_seq=161 ttl=50 time=93.2 ms
64 bytes from 5.180.211.133: icmp_seq=162 ttl=50 time=89.9 ms
64 bytes from 5.180.211.133: icmp_seq=163 ttl=50 time=91.7 ms
64 bytes from 5.180.211.133: icmp_seq=164 ttl=50 time=90.2 ms
64 bytes from 5.180.211.133: icmp_seq=165 ttl=50 time=90.8 ms
64 bytes from 5.180.211.133: icmp_seq=166 ttl=50 time=94.2 ms
64 bytes from 5.180.211.133: icmp_seq=167 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=168 ttl=50 time=98.0 ms
64 bytes from 5.180.211.133: icmp_seq=169 ttl=50 time=98.5 ms
64 bytes from 5.180.211.133: icmp_seq=170 ttl=50 time=89.5 ms
64 bytes from 5.180.211.133: icmp_seq=171 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=172 ttl=50 time=89.0 ms
64 bytes from 5.180.211.133: icmp_seq=173 ttl=50 time=86.8 ms
64 bytes from 5.180.211.133: icmp_seq=174 ttl=50 time=84.2 ms
64 bytes from 5.180.211.133: icmp_seq=175 ttl=50 time=92.4 ms
64 bytes from 5.180.211.133: icmp_seq=176 ttl=50 time=102 ms
64 bytes from 5.180.211.133: icmp_seq=177 ttl=50 time=97.3 ms
64 bytes from 5.180.211.133: icmp_seq=178 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=179 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=180 ttl=50 time=91.7 ms
64 bytes from 5.180.211.133: icmp_seq=181 ttl=50 time=99.3 ms
64 bytes from 5.180.211.133: icmp_seq=182 ttl=50 time=94.6 ms
64 bytes from 5.180.211.133: icmp_seq=183 ttl=50 time=89.3 ms
64 bytes from 5.180.211.133: icmp_seq=184 ttl=50 time=91.8 ms
64 bytes from 5.180.211.133: icmp_seq=185 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=186 ttl=50 time=84.1 ms
64 bytes from 5.180.211.133: icmp_seq=187 ttl=50 time=125 ms
64 bytes from 5.180.211.133: icmp_seq=188 ttl=50 time=96.9 ms
64 bytes from 5.180.211.133: icmp_seq=189 ttl=50 time=98.3 ms
64 bytes from 5.180.211.133: icmp_seq=190 ttl=50 time=81.7 ms
64 bytes from 5.180.211.133: icmp_seq=191 ttl=50 time=96.1 ms
64 bytes from 5.180.211.133: icmp_seq=192 ttl=50 time=141 ms
64 bytes from 5.180.211.133: icmp_seq=193 ttl=50 time=88.1 ms
64 bytes from 5.180.211.133: icmp_seq=194 ttl=50 time=84.4 ms
64 bytes from 5.180.211.133: icmp_seq=195 ttl=50 time=98.3 ms
