PING nyc.speedtest.clouvider.net (194.33.45.192) 56(84) bytes of data.
64 bytes from 194.33.45.192: icmp_seq=70 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=71 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=72 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=73 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=74 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=75 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=76 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=77 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=78 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=79 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=80 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=81 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=82 ttl=49 time=310 ms
64 bytes from 194.33.45.192: icmp_seq=83 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=84 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=85 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=86 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=87 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=88 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=89 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=90 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=91 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=92 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=93 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=94 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=95 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=96 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=97 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=98 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=99 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=100 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=101 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=102 ttl=49 time=281 ms
